TRACK #,SHOW ORDER,IN SHOW,STATUS,NAME,FILE/FOLDER NAME,BPM,TC
0,,FALSE,,------,,,0:00:00
1,,FALSE,,------,,,0:10:00
2,,FALSE,,------,,,0:20:00
3,,FALSE,,------,,,0:30:00
4,,FALSE,,------,,,0:40:00
5,,FALSE,,------,,,0:50:00
6,,FALSE,,ACT I INTRO,,,1:00:00
7,,FALSE,,SOMEWHERE I BELONG,,,1:10:00
8,,FALSE,,CRAWLING,,,1:20:00
9,,FALSE,,POINTS,,,1:30:00
10,,FALSE,,------,,,1:40:00
11,,FALSE,,LYING FROM YOU,,,1:50:00
12,,FALSE,,------,,,2:00:00
13,,FALSE,,NEW DIVIDE (+intro),,,2:10:00
14,,FALSE,,THE EMPTINESS MACHINE,,,2:20:00
15,,FALSE,,ACT II INTRO,,,2:30:00
16,,FALSE,,THE CATALYST,,,2:40:00
17,,FALSE,,BURN IT DOWN,,,2:50:00
18,,FALSE,,WAITING FOR THE END,,,3:00:00
19,,FALSE,,------,,,3:10:00
20,,FALSE,,CASTLE OF GLASS,,,3:20:00
21,,FALSE,,------,,,3:30:00
22,,FALSE,,------,,,3:40:00
23,,FALSE,,JOE SOLO,,,3:50:00
24,,FALSE,,MIKE SOLO,,,4:00:00
25,,FALSE,,LOST IN THE ECHO,,,4:10:00
26,,FALSE,,KEYS TO THE KINGDOM,,,4:20:00
27,,FALSE,,A PLACE FOR MY HEAD,,,4:30:00
28,,FALSE,,GIVEN UP,,,4:40:00
29,,FALSE,,ONE STEP CLOSER,,,4:50:00
30,,FALSE,,ACT III INTRO,,,5:00:00
31,,FALSE,,LOST,,,5:10:00
32,,FALSE,,BREAKING THE HABIT,,,5:20:00
33,,FALSE,,WHAT I'VE DONE,,,5:30:00
34,,FALSE,,KINTSUGI MOMENT,,,5:40:00
35,,FALSE,,LEAVE OUT ALL THE REST,,,5:50:00
36,,FALSE,,------,,,6:00:00
37,,FALSE,,FRIENDLY FIRE,,,6:10:00
38,,FALSE,,NUMB/ENCORE,,,6:20:00
39,,FALSE,,MY DECEMBER ,,,6:30:00
40,,FALSE,,IN THE END,,,6:40:00
41,,FALSE,,FAINT ,,,6:50:00
42,,FALSE,,ENCORE INTRO,,,7:00:00
43,,FALSE,,PAPERCUT,,,7:10:00
44,,FALSE,,HEAVY IS THE CROWN,,,7:20:00
45,,FALSE,,------,,,7:30:00
46,,FALSE,,BLEED IT OUT,,,7:40:00
47,,FALSE,,TwoFaced,,,16:00:00
