,Track Master,,,,,,,
KG Coachella 2026,,,,,,,,
3/23/2026 17:05:08,,,,,,,,
,,,,,,,,
Track,Show Order,In Show,Status,Name,File/Folder Name,BPM,TC Stamp,ACT
000,000,FALSE,,Test Track,001_Test_Track,,0:00:00,
001,001,TRUE,Missing ,INTRO,002_INTRO,,0:10:00,Act 1 - Cave Rave
002,002,TRUE,,LATINA FOREVA,003_LATINA_FOREVA,,0:20:00,Act 1 - Cave Rave
003,003,TRUE,,UN GATITO ME LLAMO,004_UN_GATITO_ME_LLAMO,,0:30:00,Act 1 - Cave Rave
004,004,TRUE,,OKI DOKI/TA OK,005_OKI_DOKI_TA_OK,,0:40:00,Act 1 - Cave Rave
005,005,TRUE,,EL MAKINON,006_EL_MAKINON,,1:00:00,Act 1 - Cave Rave
006,006,TRUE,,S91,007_S91,,1:10:00,Act 1 - Cave Rave
007,007,TRUE,,TROPICOQUETA,008_TROPICOQUETA,,1:20:00,Act 2 - Parrot Parade
008,008,TRUE,,PAPASITO,026_PAPASITO,,1:30:00,Act 2 - Parrot Parade
026,009,TRUE,,MI EX TENIA RAZON,026_MI_EX_TENIA_RAZON,,4:30:00,
009,010,TRUE,,ESE HOMBRE ES MALO,010_ESE_HOMBRE,,1:40:00,Act 2 - Parrot Parade
010,011,TRUE,,MAMIII,011_MAMIII,,1:50:00,Act 2 - Parrot Parade
027,012,TRUE,,INTERLUDE(A SU BOCA LA AMO),027_INTERLUDE(A_SU_BOCA_LA_AMO),,4:40:00,
011,013,TRUE,,GATUBELA Rhompe,017_GATUBELA_Rhompe,,,
017,014,TRUE,,EL BARCO,017_EL_BARCO,,3:00:00,Acoustic 
014,015,TRUE,,BANDIDA ENTRENADA,015_BANDIDA_ENTRENADA,,2:30:00,Act 4 - Crystal Pool
015,016,TRUE,,OJOS FERRARI (DANCE BREAK),018_OJOS_FERRARI_(DANCE_BREAK),,2:40:00,Act 4 - Crystal Pool
018,017,TRUE,,IVONNY BONITA,018_IVONNY_BONITA,,3:10:00,Acoustic 
019,018,TRUE,,TQG,019_TQG,,3:20:00,Crazy Horse
020,019,TRUE,,AMARGURA,020_AMARGURA,,3:30:00,Act 5 - Finale
021,020,TRUE,,BICHOTA,021_BICHOTA,,3:40:00,Act 5 - Finale
023,021,TRUE,,TUSA,023_TUSA,,4:00:00,Act 5 - Finale
025,022,TRUE,,MI TIERRA,025_MI_TIERRA,,4:20:00,Act 5 - Finale
024,023,TRUE,,SI ANTES TE HUBIERA CONOCIDO,024_SI_ANTES_TE_HUBIERA_CONOCIDO,,4:10:00,Act 5 - Finale
028,024,TRUE,,PROVENZA + PROVENZA REMIX,028_PROVENZA_+_PROVENZA_REMIX,,4:50:00,
012,,FALSE,,QLONA,013_QLONA,,2:00:00,Act 3 - Electric Forest
013,,FALSE,,NEW SONG #1 (Guest Artist) (Wknd2),016_NEW_SONG_#1_(Guest_Artist)_(Wknd2),,2:10:00,Act 4 - Crystal Pool
016,,FALSE,,NEW SONG #2 (Guest Artist),016_NEW_SONG_#2_(Guest_Artist),,2:50:00,Acoustic 
022,008,TRUE,,MARIACHI ENTRANCE,022_MARIACHI_ENTRANCE,,3:50:00,Act 5 - Finale
029,,,,,,,5:00:00,
030,,,,PRE-SHOW,PRE-SHOW,,5:10:00,Act 1 - Cave Rave
031,,,,,,,5:20:00,
032,,,,,,,5:30:00,
,,,,,,,5:40:00,
,,,,,,,5:50:00,
,,,,,,,6:00:00,
,,,,,,,6:10:00,
,,,,,,,6:20:00,
,,,,,,,6:30:00,
,,,,,,,6:40:00,
,,,,,,,6:50:00,
,,,,,,,7:00:00,
,,,,,,,7:10:00,
,,,,,,,7:20:00,
,,,,,,,7:30:00,
,,,,,,,7:40:00,
,,,,,,,7:50:00,
